MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M08,Forest,FA_2C+,Programme Specific (1),1610000,1427735.85,3037735.85,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,,DM,Discontinued Measures,EAFRD Discontinued Measures from 2007-2013,VOID,M113,Early retirement,FA_M113,M113,119790,78210,198000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,302500,197500,500000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M07,Basic services,FA_6A,"Diversification, SMEs and job creation",6957500,4542500,11500000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,6611810,4316801.57,10928611.57,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,762300,497700,1260000,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,2300000,2039622.64,4339622.64,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,217800,142200,360000,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,23856590,15575790.17,39432380.17,60.5
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5C,Renewable energy,333000,217413.22,550413.22,60.5
UK,United Kingdom,2014UK05SFOP001,3.1,West Wales and the Valleys - ESF,ESF,3,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,134592585,46408740,181001325,74.36
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,10000000,2500000,12500000,80
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,2105000,1866698.11,3971698.11,53
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,15000000,13301886.79,28301886.79,53
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,6400056,2133352,8533408,75
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,54789130,35771415.46,90560545.46,60.5
FR,France,2014FR06RDRP042,5,Alsace - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M06,Farm and business development,FA_6B,Local development,800000,709433.96,1509433.96,53
IT,Italy,2014IT06RDRP018,5,Calabria - Rural Development,EAFRD,P6,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),VOID,M07,Basic services,FA_6C,ICT,14278000,9322000,23600000,60.5
IT,Italy,2014IT16RFOP002,4,Infrastructures and Networks - IT - ERDF,ERDF,III,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,48400000,16133334,64533334,75
IT,Italy,2014IT16RFOP002,4,Infrastructures and Networks - IT - ERDF,ERDF,II,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,468182868,156060956,624243824,75
IT,Italy,2014IT16RFOP002,4,Infrastructures and Networks - IT - ERDF,ERDF,I,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,866217132,288739044,1154956176,75
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2B,New farmers,9000000,1588235.29,10588235.29,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,7050000,1244117.65,8294117.65,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,1000000,176470.59,1176470.59,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5B,Energy efficiency,1000000,176470.59,1176470.59,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,4000000,705882.35,4705882.35,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2A,Farm performance,3200000,564705.88,3764705.88,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,5000000,882352.94,5882352.94,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation",3200000,564705.88,3764705.88,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M05,Restoring agricultural potential,FA_3B,Risk management,1000000,176470.59,1176470.59,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M08,Forest,FA_6A,"Diversification, SMEs and job creation",1350000,238235.29,1588235.29,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P6,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),VOID,M07,Basic services,FA_6C,ICT,4395344,775648.94,5170992.94,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,50000,8823.53,58823.53,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,50000,8823.53,58823.53,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,11000000,1941176.47,12941176.47,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,4000000,705882.35,4705882.35,85
FR,France,2014FR06RDRP002,3.1,Martinique - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,3500000,617647.06,4117647.06,85
ES,Spain,2014ES06RDRP013,6,Murcia - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,17312400,10167600,27480000,63
RO,Romania,2014RO16RFOP002,5.3,Integrated Regional Programme - RO - ERDF,ERDF,AP8,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,348117301,149193130,497310431,70
RO,Romania,2014RO16RFOP002,5.3,Integrated Regional Programme - RO - ERDF,ERDF,AP9,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,8638298,959812,9598110,90
PL,Poland,2014PL16M2OP009,4.1,Podkarpackie Voivodeship - ERDF/ESF,ERDF,III,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,246652176,43526855,290179031,85
PL,Poland,2014PL16M2OP009,4.1,Podkarpackie Voivodeship - ERDF/ESF,ERDF,III,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,7089436,1251077,8340513,85
ES,Spain,2014ES06RDRP013,6,Murcia - Rural Development,EAFRD,P6,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6A,"Diversification, SMEs and job creation",230076,135124,365200,63
IT,Italy,2014IT16RFOP020,2,Valle d'Aosta - ERDF,ERDF,4,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,7126000,7126000,14252000,50
PL,Poland,2014PL16M2OP013,3,Świętokrzyskie Voivodeship - ERDF/ESF,ERDF,7,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,34086206,6015213,40101419,85
PL,Poland,2014PL16M2OP013,3,Świętokrzyskie Voivodeship - ERDF/ESF,ERDF,5,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,129517902,22856101,152374003,85
IT,Italy,2014IT06RDNP001,6,Italy - National Rural Development,EAFRD,P5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,130950000,160050000,291000000,45
DE,Germany,2014DE16RFOP013,2.2,Sachsen-Anhalt - ERDF,ERDF,2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,345554130,114311349,459865479,75.14
DE,Germany,2014DE16RFOP013,2.2,Sachsen-Anhalt - ERDF,ERDF,3,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,252000479,95294941,347295420,72.56
ES,Spain,2014ES06RDRP013,6,Murcia - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,18836197.38,11062528.62,29898726,63
RO,Romania,2014RO16RFOP002,5.3,Integrated Regional Programme - RO - ERDF,ERDF,AP4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,106382979,18773467,125156446,85
RO,Romania,2014RO16RFOP002,5.3,Integrated Regional Programme - RO - ERDF,ERDF,AP1,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,150531915,26564459,177096374,85
ES,Spain,2014ES06RDRP013,6,Murcia - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,3442858.59,2021996.32,5464854.91,63
PL,Poland,2014PL16M2OP013,3,Świętokrzyskie Voivodeship - ERDF/ESF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,96172411,16971602,113144013,85
ES,Spain,2014ES06RDRP013,6,Murcia - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2B,New farmers,285012,167388,452400,63
DE,Germany,2014DE16RFOP013,2.2,Sachsen-Anhalt - ERDF,ERDF,7,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,57099808,14274952,71374760,80
ES,Spain,2014ES06RDRP013,6,Murcia - Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,285012,167388,452400,63
IT,Italy,2014IT06RDNP001,6,Italy - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,22680000,27720000,50400000,45
ES,Spain,2014ES06RDRP013,6,Murcia - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5B,Energy efficiency,92030.4,54049.6,146080,63
RO,Romania,2014RO16RFOP002,5.3,Integrated Regional Programme - RO - ERDF,ERDF,AP2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,979680850,172884857,1152565707,85
IT,Italy,2014IT06RDNP001,6,Italy - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M17,Risk management,FA_3B,Risk management,690990515.77,844543963.7,1535534479.47,45
ES,Spain,2014ES06RDRP013,6,Murcia - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,20318706.74,11933208.72,32251915.46,63
PL,Poland,2014PL16M2OP013,3,Świętokrzyskie Voivodeship - ERDF/ESF,ERDF,6,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,10229626,1805228,12034854,85
DE,Germany,2014DE16RFOP013,2.2,Sachsen-Anhalt - ERDF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,501488653,127929609,629418262,79.67
